Name,Rating,Cuisine,Discounts,Image URL,Link
Signature Restaurant,4.8(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Up to 30% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/qt4n/signature-restaurant
Signature Burgers & Wings,4.7(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Burgers,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ncmq/signature-burgers-and-wings
Desi Bites,4.6(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"20% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/jzh0/desi-bites-jzh0
BKK by Erum,4.9(15)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/soln/bkk-by-erum
Quetta Zam Zam Hotel,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/iemq/quetta-zam-zam-hotel-iemq
Mr & Mrs Kitchen House,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Chinese,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/wkxh/mr-and-mrs-kitchen-house
Pizza Max - North Karachi,4.6(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pizza,Rs.1081 off Rs.1081,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/s5op/pizza-max-north-karachi
Asia Quetta Hotel,4.7(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/gqw4/asia-quetta-hotel
Illahi Nihari BBQ & Fast Food Restaurant,4.8(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/w9kv/illahi-nihari-bbq-and-fast-food-restaurant
Delish Star Sweets and Bakers,5(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Cakes & Bakery,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/yw1z/delish-star-sweets-and-bakers
Delicious Home Food,4.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,"10% off Rs.199, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/eva8/delicious-home-food-eva8
Mubashir Cusine,3.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Up to 10% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/zfri/mubashir-cusine
Mrs Minhaj in the kitchen,4.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/e7tr/mrs-minhaj-in-the-kitchen
Marvellous Foods,4.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/hgf8/marvellous-foods
Ruba's Kitchen,,Pakistani,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/nioe/rubas-kitchen-nioe
Amma's Food,4.9(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,"Free Delivery, Free delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/a29w/ammas-food
Sarawan Foods,4.9(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/kitl/sarawan-foods
Sweet Treats,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/yvde/sweet-treats-yvde
NZ Food,3.9(2000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/g0gf/nz-food
Tawakal Food,2.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/i6a0/tawakal-food
